marital-status,relationship,race,gender
Never-married,Own-child,Black,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,Black,Male
Never-married,Own-child,White,Female
Never-married,Not-in-family,White,Male
Never-married,Unmarried,Black,Male
Married-civ-spouse,Husband,White,Male
Never-married,Unmarried,White,Female
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Not-in-family,White,Female
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Own-child,White,Male
Married-civ-spouse,Wife,White,Female
Widowed,Unmarried,White,Female
Married-civ-spouse,Husband,Asian-Pac-Islander,Male
Married-civ-spouse,Husband,White,Male
Never-married,Own-child,Black,Female
Divorced,Not-in-family,White,Female
Never-married,Not-in-family,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Own-child,White,Male
Separated,Unmarried,Black,Male
Married-civ-spouse,Husband,White,Male
Never-married,Not-in-family,White,Male
Married-civ-spouse,Husband,Black,Male
Widowed,Unmarried,White,Female
Never-married,Not-in-family,White,Male
Married-civ-spouse,Husband,White,Male
Divorced,Unmarried,White,Female
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Not-in-family,White,Male
Never-married,Not-in-family,White,Male
Never-married,Own-child,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Own-child,White,Male
Married-civ-spouse,Wife,White,Female
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Separated,Not-in-family,Black,Female
Widowed,Not-in-family,White,Female
Never-married,Own-child,White,Male
Divorced,Own-child,Black,Male
Never-married,Own-child,White,Female
Never-married,Not-in-family,White,Male
Married-spouse-absent,Not-in-family,White,Male
Never-married,Own-child,White,Female
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Not-in-family,White,Female
Divorced,Not-in-family,White,Male
Never-married,Not-in-family,White,Female
Never-married,Own-child,White,Female
Divorced,Not-in-family,White,Female
Never-married,Not-in-family,White,Female
Married-civ-spouse,Husband,White,Male
Never-married,Own-child,White,Male
Separated,Not-in-family,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Separated,Not-in-family,White,Female
Married-civ-spouse,Husband,Other,Male
Never-married,Own-child,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Married-civ-spouse,Husband,White,Male
Never-married,Not-in-family,White,Female
Married-civ-spouse,Husband,White,Male
